Label;Text
positive;advise anyone go see
positive;love go back
positive;good intention make film great film be one of greatest film ever make
negative;take picture battery drop bar start beep let know din
negative;be turn good day feel night of disturb memory guess succeed
negative;be possible give zero star have
negative;someone involve know string together narrative
negative;have not roll eye may have stay not sure go back try
negative;be wind be completely useless
positive;be ever movie word of mouth promote be
positive;be ever indication of writer director ability hold two highly volatile temperament seamless union of creativity be
negative;premise sound stupid be
negative;act film be glad be go drift away earth far possible
positive;be look movie terrific cast some good music uplift end give one try
negative;be read please do not go
negative;check director filmography site see film do not have chance
negative;do not find bad unit come one arpad not recommend anyone
negative;hate barbuda avoid phone mean
positive;have not see movie definitely recommend
negative;have several dozen several hundred contact imagine fun of send of one one
negative;have not choke vomit end cheap drama worthless dialogue have have bore death waste of time
positive;have not go go now
negative;like loud buzz override conversation phone be
negative;plan use car forget
negative;see probably leave shelf
negative;simply want small flip phone look elsewhere extra bell whistle be mediocre
positive;want movie not gross give some chill be great choice
positive;want healthy authentic ethic food try place
negative;want wait mediocre food downright terrible service be place
negative;be look trust worthy guide unfamiliar area be not
negative;be drive along headset start ring no reason
positive;definitely be soon
negative;even say be torture
positive;put gem movie term of screenplay cinematography act post production edit direct aspect of film make
negative;bite disappoint
negative;im big fan of rpg game movie disgrace self respect roger be
positive;im frustrate lack of intuition steep learn curve software offer
positive;glad find product amazon be hard find be not high price
positive;glad film do not go obvious choice lesser film certainly have
positive;happy purchase good quality low price
negative;not eat
negative;not impress concept food
negative;not inspire go back
negative;not sure long stand be long enough begin feel awkwardly of place
negative;not sure be try do film
positive;please
negative;really disappoint have now be charger do not work
negative;return
negative;send back full refund
negative;disappoint
positive;happy be
negative;sorry really can not recommend anyone
positive;still infatuate phone
negative;still try get bad be
negative;super piss
positive;im surprise be good quality car charger be not much review
negative;terribly disappoint film receive many award accolade especially be far deserve work of film
negative;tire of use
negative;translate movie live be first movie 5 year work experience find offensive intelligence
negative;try return refund
positive;use river spine case fit fine
negative;disappoint decision
negative;idb rat go low one awful be time get some negative number case
negative;improper description have return
positive;wonderful location lie story of contrast
negative;word be embarrass
negative;addition feel amp look phone be lightweight cheap plastic
positive;addition have one of lovely song ever write french canaan also boast one of cutest lead lady ever grace screen
positive;interest part of town place be amaze
negative;conclusion not bother movie volcano los angeles be nothing nonsense
neutre;fact whole family be together mary wed
negative;fact stinker smell like direct video release
negative;house be get drop coverage upstairs no coverage basement
positive;word content level of film be enough easily fill dozen film
negative;particular relationship bakery assistant waitress do not work
negative;short be monumental waste of time energy not recommend anyone ever see film
negative;short do not bother movie
negative;summary be largely disappoint din experience
positive;incredible
negative;instead get bore fest whiny spoil brat babysitting
positive;interest decor
positive;interest place
negative;internet be excruciatingly slow
negative;ironically mostly find film total waste of time watch
negative;be possible movie get worse
neutre;be urgent
positive;be pretty funny
neutre;be of business
positive;have some good item
neutre;say blurb can use of 16 language source language
positive;work faster processor
positive;actually turn be pretty decent far b list horror suspense film go
negative;also have new problem
negative;also take forever bring u check ask
negative;always cut make beep beep beep sound say signal fail
negative;come free do player buy still turn thing halfway be embarrass howell
negative;clash standard security software
negative;click place way make wonder long mechanism last
negative;crackle unpredictable youthful energy honestly find hard follow concentrate meander badly
negative;delete whole package
positive;deserve strong love
negative;do not work cell phone plug set charger
negative;do not charge
negative;do not make scar horrify make sympathetic towards character be simply annoy
negative;do not work people can not hear talk
negative;direct wrong direction
negative;dit not work of time nokia 5320
positive;do everything description say
negative;do not make look cool
negative;do not work europe asia
positive;even have sweet moment
negative;fail convey broad sweep of landscape be great part of original
positive;feature outlandish array of memorable psychotic lovable nut
positive;feel comfortable headset wear glass get way sometimes
negative;feel poorly construct menu be difficult navigate button be recess be difficult push
positive;fit comfortably either ear sound be clear loud charge last couple of day
positive;fit ear well be comfortable
negative;have some average act main person be low budget clearly can see
positive;have great camera thats mp pic be nice clear great picture quality
positive;have good plot hold complete attention act be superb
positive;have feature want
positive;have be winner u
positive;have everything not ask
positive;have everything want suspense drama comedy confuse sub-plots native american brain eat be look be end of brain suck movie look no
positive;have keep well
positive;have no problem
positive;have northern humour positive community represent
positive;hold charge long time be reasonably comfortable long wear condition quality of sound be tremendous
negative;be bore
negative;be far few price
negative;be film nothing pretext show ridiculous action scene
positive;be joy use
positive;be really good show watch
neutre;be regular cheesecake white chocolate shave raspberry sauce
positive;be true classic
positive;be well act do tv movie
positive;be excellent drama excellent thriller excellent film
negative;be hour half waste of time follow bunch of pretty high schooner whine cry life
positive;be insane game
positive;be refresh comfort know be still rely traditional hand draw animation tell charm enchant story
negative;be cheap feel look cheap
positive;be comfortable
positive;be easy turn be car volume control be quite accessible
positive;be especially nice weather be beautiful
negative;be indescribably annoy idiotic show have ever see
negative;be sort of pap be screen afternoon punish unemployed not have job
positive;be light easy use have clear reception transmission
positive;be light have plenty of battery capacity be comfortable wear somewhat extend period of time
negative;be not good
positive;be not cult be cult classic
negative;be not worth time money
negative;be practically useless do not add kind of boost reception buy
positive;be rare film maker take time tell worthy moral tale care love do not fall trap of be overly syrupy indulgent
negative;be shameful
positive;be simple use like
positive;be small do not even realize be of get use
positive;be super charge use small hybrid palmtop camera cellphone excel role
positive;be best charger have see market yet
negative;be unusable move car freeway speed
positive;be comfortable ear
positive;be comfortable wear well be probably important aspect use case
positive;be well make easy access phone have handy detachable belt clip
positive;be wonderful inspire watch
positive;be worth drive
negative;be million time away reality
negative;be not even achievement bad good bad memorable movie
negative;blow
negative;keep get worse worse now officially do
negative;lack flavor seem undercooked dry
negative;last le three minute actually try use phone wife have same phone same problem
positive;look nice well
positive;look nice
negative;loose connection phone even be within couple foot two
negative;make strange tick noise end call
positive;never condescend character have good genuine heart
positive;play louder speaker of size
positive;present idyllic yet serious portrayal of of character live
negative;probably have be better director have not spend of movie showcasing art work really be not noteworthy
positive;quit work use 18 month purchase another one be best headset have ever
positive;really create unique feel though
negative;really be impressive place have not close
positive;rock world be certainly see anyone no social physical outlet
negative;bad enjoy meal be happen be risk n take
positive;seem completely secure hold belt keep phone inside
negative;simply fail recognize
negative;be bite sweet not really spicy enough lack flavor
positive;be great phone
positive;be long time do not see charismatic actor screen
negative;be pale color instead of nice character have no flavor
negative;be superficial movie give feel be watch play rather film
negative;be waste of money
positive;be absolutely amaze
positive;be also right balance of war love
positive;be amaze
negative;be inexpensive piece still have expect better quality
negative;be unsatisfactory experience
positive;be awesome
positive;be delicious
negative;be disgraceful
negative;be either cold not enough flavor bad
negative;be equally awful
negative;be extremely crumb pretty tasteless
negative;be force like everything movie
negative;be horrendous
negative;be horrible
negative;be not fun experience
negative;be horrible
neutre;be first time
negative;be not good
negative;be pretty gross
negative;be probably dirt
positive;be quite comfortable ear
negative;be bad have lose heart finish
negative;be bore
positive;be cool
positive;be loud glad say plantronics 510 maintain flawless connection cell no static normal use
negative;be predictable even chick flick
negative;be disappoint
positive;be popular be cinema good house good reaction plenty of laugh
negative;be not tasty
negative;drive bark mad
positive;work well
positive;work fine motorola 325 cellphone lot better wear battery do
positive;work great car charger especially cannon plug two adapter same time
negative;take long describe bad customer service experience have be amazon
positive;item arrive quickly work great metro pc samsung sch r 450 slider phone sony premium sound ear plug
positive;be camp sort of film joy watch
negative;be case of bad be laughable
positive;be feel good film felt come of cinema
positive;be fresh subtle rather sublime effect
positive;be gloriously fun fast pace fairly accurate portrayal of night of raver
positive;be great item
positive;be great place highly recommend
positive;be great tool entertainment communication data management oh be sure use activesync 4 2 optimal data synchronization result
positive;be long time since be entertain movie
negative;be mediocre miserable hollow laughable predictable piece of garbage
negative;be piece of crap
positive;pretty small place
negative;be sad movie
negative;be shame see good actor like jam make live mess like
positive;be wonderfully fun imaginative look childhood
negative;be aggravate
positive;be amaze job
negative;be empty hollow shell of movie
negative;be extremely difficult program grasp
positive;be be choice headset year great sound good volume good noise cancellation
positive;be cheap
negative;be definitely one of restaurant not be revisit
negative;be dumb pointless complete waste of time
negative;extremely slow take forever do anything
negative;be extremely uninteresting
positive;be fit like glove be strong secure durable
positive;be hard not fall head heel love girl
positive;be adorable
negative;be lame
negative;be painful
negative;be kind of embarrass use of look mostly be embarrass child like company be
negative;be like bad two hour tv movie
negative;be not hard make decent hamburger
negative;be not quite silly noir be implausible unmitigated bore of movie
negative;not user friendly
negative;be not say be
negative;be one of bore horror movie 90 mainly start slow center bore atmosphere
positive;be one of movie see whenever come tv never mind fact already have memorize
positive;be practically perfect of true masterpiece sea of faux masterpiece
positive;be pretty easy
positive;be pure brilliance
positive;be quite simply highest superlative form of cinema imaginable
positive;be really easy
negative;reception be poor
negative;be ridiculous
negative;be bad be actually worth see reason
negative;be stupid have keep buy new charger car charger cradle headphone car kit every time new phone come
positive;be still wild stuff though be highly recommend fan of diallo cinema
negative;be terrible
positive;best headset have use
positive;be best
positive;be one movie never cease interest simply keep alert try attempt decipher be mean
negative;be pander audience sabotage of film
negative;be bad everyone else involve do not share crowe level of dedication quality do have far better film hand sub par mess
negative;be bad
negative;be uncomfortable sound quality be quite poor compare phone razor previous wire headset plug lg
positive;be attractive appear be of good quality
positive;be convenient simple use get job do make car ride much smoother
positive;be cool
positive;be good
negative;be slow
positive;well design sharp blue be nice color
negative;have also have problem phone read memory card always turn
positive;have drop phone time can say even concrete phone be still great knock wood
neutre;have get go post office actually
positive;have have better atmosphere
positive;have have no trouble access internet download intone perform of function
negative;have have bluetooth headset some time now still not comfortable way fit ear
positive;have have nearly two year have work great
negative;have never be insult felt disrespect
negative;have never be treat bad
positive;have have bluetooth few week really like
positive;have phone seven month now can say be best mobile phone have have
negative;have see soap opera intelligent movie
positive;jawbone era be awesome
positive;john wayne do incredible job be young movie industry
negative;absolutely terrible service
positive;consider excellent story solid act look of film add bonus
negative;do not work
positive;have lunch have great experience
positive;read spec alone make say wow
positive;really good far probably best bt headset have ever have
positive;want
negative;whatever do avoid groove antithesis of be good human traffic
positive;keep good work amazon
negative;kind of flop around
positive;russell always good
negative;lame be best way describe
negative;last time buy
negative;last one day blow
positive;lately have be extremely nice helpful phone
positive;later find lose power of film
negative;leave frustrate
positive;leopard print be wonderfully wild
negative;let u start problem act especially lead professor be bad
negative;lewis black considerable talent be waste be incendiary be unrestrained pg 13 rat certainly not allow
positive;lifetime do not air enough anyone know store sell let know be have
positive;light weight hardly notice be
positive;lightweight work well
negative;like reviewer say not pay eat place
negative;link have some way exchange bad phone return unit something
negative;long whiny pointless
negative;look good picture case be huge disappointment
positive;look great be strong
negative;lot of hole plot be nothing become emperor nothing spend 20 year childhood mature age
negative;lot of hole script
positive;lot of variety always hot wonderful flavor
negative;lousy product
positive;love great armband
positive;love headset
positive;love phone
positive;love place hit spot want something healthy not lack quantity flavor
positive;love product
positive;love friendly server great food wonderful imaginative menu
positive;love cast of jimmy buffet science teacher
negative;low quality
negative;lucy bell be much higher crap sink low be quite depress
positive;make sturdy
positive;magical help
negative;make easier keep bluetooth not wear
positive;manna heaven be terrific film be predictable unpredictable same time
negative;maybe be not cold have be somewhat edible
negative;maybe be reasonable explanation atrocity
negative;mediocre food
negative;mic do not work
neutre;mind business
neutre;often medium do not really know one be best
positive;much better hard plastic case
positive;much interest action suspense le of unneeded controversy
negative;muddy low quality sound case around wire insert be poorly super glue slide
positive;8 10 score be mostly plot
negative;brother eat guess be sick night
positive;colleague now get great reception little expensive performance be great
positive;drink be never empty make some really great menu suggestion
negative;experience be terrible be fourth bluetooth headset be much comfortable last cabra hat
negative;father have 265 battery be die
positive;first visit be delight
negative;friend do not like bloody mary
negative;husband say be rude do not even apologize bad food anything
negative;problem be think actor play villain be low rent michael ironside
negative;phone sound ok not great ok wife phone be almost totally unintelligible not understand word be say
negative;rat three of 10
negative;hashemi be poor quality be soggy tasteless
positive;sister have one also love
negative;needle say waste money
negative;needle say not be go back anytime soon
negative;needle say never be back
negative;never be din place
negative;never go back
negative;never get
positive;never have anything complain
negative;never hear of of except cole be totally unbelievable part
positive;nevertheless yet another wonderful film great master stable
positive;new battery work great phone
positive;nice ambiance
positive;nice case feel good hand
positive;nice design quality
positive;nice dock station home work
positive;nice headphone price work great
positive;nice headset price right
positive;nice leather
positive;nice quality build
positive;nice solid keyboard
positive;nice sound
positive;nice spicy tender
positive;nine of ten truly lovely film
negative;no actress have be worse use june allison movie
negative;no additional ear gel provide no instruction whatsoever
negative;no allergy warn menu waitress have absolutely no clue meal do do not contain peanut
negative;no buyer remorse one
positive;no complaint
positive;no ear loop be tiny sound be great
negative;no one table think food be average worth wait have
negative;no plot whatsoever
negative;no real improvement
positive;no shift no bubble no peel not even scratch nothing not be happier new one droid
neutre;no post office be not open now
neutre;no want office close
negative;no go eat potato find some stranger hair
negative;nobody identify character be cardboard cutout stereotype predictably reverse stereotype
negative;none of work do not buy
negative;none of new one have ever quite work properly
negative;none of three size send headset stay ear
negative;none of be engage excite
positive;non linear narration thus many flashback every part be articulate quite well
negative;not good bargain
negative;not good item work start have problem auto reverse tape player
negative;not pleasant voyage of self discovery
negative;not single employee come see be ok even water refill finally serve u food
negative;not good have hop
negative;not easy watch
negative;not enough volume
negative;not even good camp value
negative;not frighten least barely comprehensible
negative;not good stretch of imagination
negative;not good enough price
negative;not good money
negative;not good wear hat sunglass
negative;not impress
negative;not loud enough do not turn like
negative;not much flavor poorly construct
neutre;not favorite worth visit
negative;not nearly good look amazon picture make look
negative;not do confirm film be unfunny generic also manage give away entire movie not exaggerate every moment every plot point every joke be tell trailer
positive;not do software do great job of also make intone form exist cd without internet connection
negative;not drain player may also potentially fry
negative;not recommend
negative;not sure be lose flat character audience nearly half of walk
negative;not want
negative;not worth
negative;not worth money
negative;nothing recommend
negative;nothing new
positive;nothing short of magnificent photography cinematography film
neutre;nothing special
negative;nothing special
positive;now know make wise decision
negative;now imagine every single one of decision be make wrong
negative;now burger be not good pizza use be amaze be doughy flavourless
positive;now dish be quite flavourful
negative;now be movie really dislike
negative;now be choose be torture disgust piece of blatant american propaganda
positive;now know give 10
negative;obviously be problem adhesive
negative;obviously have terrible customer service get pay
positive;of dish salmon be best be great
neutre;of course be come tomorrow
negative;of course act be blah
negative;often dialogue do not really follow one line another fit surround
positive;oh gosh best phone have ever have
neutre;oh jean office money
negative;oh yeah storyline be pathetic
neutre;oh yes
neutre;oh yes be be nine year time go
neutre;oh be little office
positive;okay like consider fair critic give credit credit due creature effect be actually pretty cool
negative;older no smarter
negative;omit watch
positive;positive note server be attentive provide great service
positive;good side staff be genuinely pleasant enthusiastic real treat
negative;grind right next table be large smear be step track everywhere pile of green bird poop
negative;negative be insipid enough cause regret another two hour of life waste front of screen
positive;side cafe serve really good food
negative;three different occasion ask well do medium well three time get bloodiest piece of meat plate
positive;get inside be impress place
negative;food arrive be
negative;one character be totally annoy voice give feel of fingernail chalkboard
negative;one thing can tolerate political correctness well artistic freedom suspension of disbelief slavic female character be much
positive;one of favorite purchase ever
positive;one of few place definately go back
negative;one of bore pointless movie have ever see
negative;one of disappoint aspect be lack of notable gore
positive;one of unforgettable character see movie recent year
negative;one of worst show of time
negative;one thing hate be mode set button side
positive;have month be work flawlessly far
positive;leather be nice soft fit be tight cut face be good shape
negative;otherwise do not even waste time
positive;otherwise easy install use clear sound
positive;server be fantastic
positive;waitress be super nice quick
negative;overall be not impress not go back
positive;overall delight
positive;overall great experience
positive;overall psyched have phone have appointment contact get great reception
negative;overall do not think take parent place make of similar complaint silently felt
positive;overall like food service
positive;overall like place lot
negative;overall be disappoint quality of food
positive;overall recommend phone new walkman
positive;overall film be interest think provoke
negative;overall movie be cheap trash
negative;overprice be get
positive;owner be really great people
negative;painful ear
negative;people couldnt hear talk have pull earphone talk phone
positive;perfect actually
positive;perfect p
negative;perform awful muffle tinny incoming sound severe echo end of call
negative;perhaps phone be defective people cannon hear use
positive;phenomenal food service ambiance
negative;phone fall easily
negative;piece of junk
negative;piece of trash
positive;plan order
negative;please dont waste money
negative;plug be wrong size
negative;plus seriously do not believe be worth steep price point
positive;plus be well pace suit relatively short run time
negative;poor construction
negative;poor product
negative;poor quality service
negative;poor quality
negative;poor reliability
negative;poor service waiter make feel like be stupid every time come table
negative;poor sound quality
negative;poor talk time performance
negative;poor voice clarity
negative;poorly construct hinge
positive;pretty awesome place
positive;pretty cool say
positive;pretty good beer selection
negative;pretty piece of junk
positive;price be good
negative;price be bite of concern mellow mushroom
negative;probably never come back not recommend
negative;problem be ear loop be make of weak material break easily
positive;product be exactly describe
negative;product be useless since do not have enough charge current charge two cellphone be plan use
positive;product be excellent work better version one boy be cheaper
positive;protect phone side
positive;provide good protection look classy
negative;put race card aside let look major flaw film destroy latif character
negative;rat 0 10 show be bad
negative;rat one of 10
positive;raw sublimely move
positive;razor battery good buy
negative;reach bottom row be uncomfortable send end key be not expect be 3
neutre;really come ice tea
negative;really awful
negative;really bad
positive;really good product
positive;really please product far
negative;really ugly
positive;really really good rice time
negative;reception be terrible full of static
negative;regardless film fail level
negative;regrettably film fail
positive;restaurant be always full never wait
positive;restore phone like new performance
positive;reversible plug work great
negative;rest peace charge ship
negative;rude inconsiderate management
negative;saggy floppy piece of junk
negative;same even be drastically sick
negative;same problem others have mention
negative;sauce be tasteless
positive;saw movie today think be good effort good message kid
negative;schroder have make resume full of lousy amateurish film
negative;seafood be limit boil shrimp crab leg crab leg definitely do not taste fresh
negative;send back
positive;seriously flavourful delight folk
negative;seriously be not worth waste kid time
positive;server do great job handle large rowdy table
negative;service well not much way of service
positive;service be always friendly pleasant place
positive;service be also cute
positive;service be friendly invite
positive;service be perfect family atmosphere be nice see
positive;service be quick friendly
negative;service stink
negative;service suck
positive;service be exceptional food be good review
positive;service be fantastic
positive;service be fine waitress be friendly
negative;service be slow not attentive
positive;service be prompt
positive;setup not have be simpler
positive;setup go smoothly
neutre;ask carol service
neutre;do not go work today
positive;be lovely usual cutie
positive;be one of favorite actress think do superb job film
negative;order toast english muffin come untasted
neutre;say be none of business
negative;be quite disappoint
positive;be poise amaze
neutre;have wait longer
positive;simple lightweight great fit
positive;simply beautiful
positive;small sleek impressive look practical setup ample storage place
positive;absolutely fantastic
negative;anyone near hear part of conversation
negative;bad
negative;bad well bad
negative;do not go be look good food
positive;far have work like charm
positive;far good
positive;enjoyment get see run around play game be dangerous
negative;warn do not rent movie be humblest thing have never see
negative;basically throw money window nothing
negative;have take battery of phone put back together restart
negative;beware
negative;mediocre every aspect become dull uninteresting mess be one of forgettable movie have see
negative;advice be do not buy
neutre;food be okay nothing be great
positive;go tigerlily have fantastic afternoon
negative;soggy not good
positive;some applause be give prelude however
negative;sometimes be embarrass have look away
positive;voodoo good
negative;sorry not be get food anytime soon
positive;sound quality end be excellent use headset call wife ask wife use headset call 2
positive;sound good reasonably price effective simple
negative;solo technology suck
negative;speak of music be unbearably predictably itchy
positive;special mention be make of superb music score sound effect be integral element help make memorable enjoyable cartoon
negative;spend money elsewhere
negative;spotty service
negative;star trek v final frontier be worst series
negative;start watch do not believe of character
negative;stay away q
negative;stay away store be careful
positive;still be quite interest entertain follow
positive;still do like movie be empowerment of woman be not enough movie like one
positive;still make of super end depict great sea vessel be take mighty frost
positive;still be set get big 10 oy scale
positive;fine product
negative;suck of stuff do not work phone
negative;summary witticism be not witty
positive;superb phone great network
positive;sweetest phone
positive;talk great customer service of course be back
negative;talk useless customer service
negative;taste like dirt
positive;technically film be well make impressive camera work solid act effective music
negative;terrible customer service
negative;terrible management
negative;terrible phone holder
negative;terrible product waste of money
negative;terrible service
negative;terrible car not accept cassette
positive;thank great service
positive;thank amaze memory
negative;thank waste money
positive;thank amazon have thing good price
positive;thank good movie like be do release
positive;be say phone camera be nice many cool effect play video be decent well
negative;company be joke
negative;movie be bad
negative;one do not work either
negative;be do second movie
positive;be nice
positive;be funny
negative;huge design flaw
neutre;alright
negative;describe painfully dreary time waster of film
neutre;one of thing want talk
neutre;one thirty whole one be much
negative;current model can not process of program available
positive;1 2 mega pixel camera be part of phone be reasonably good
negative;explosion of gas tank end be awful
positive;accompany software be almost brilliant
negative;act whole cast be put scale balance perfectly operate act
negative;act involve include like shatner nimby be bad wash make seem old look real life special effect be tacky like spock have rescue kirk jet pack fall mountain
positive;act help write along well be real joy watch
negative;act be beyond abysmal
positive;act be fantastic rent view see
negative;act be like watch wooden puppet move around read book bad be
negative;act be terrible write be worse
negative;act suck
negative;act suck music suck script suck pace suck special fx suck direct suck basically movie suck
negative;act be bad dialog be extremely shallow insincere
negative;act be bad
negative;act be decidedly wooden though no worse period universal be movie
positive;act expect cast be top notch
positive;actor break heart end
negative;ambiance do not feel like buffet set
negative;ambiance be not much better
positive;ambiance be incredible
positive;ambience be wonderful
positive;art style have appearance of crayon pencil draw be wonderfully colourful fanciful
positive;atmosphere be fun
positive;atmosphere be modern hip maintain touch of cosiness
positive;atmosphere be great lovely duo of violinist play song request
negative;attempt humor be pitiful story be awful dozen bear think basically involve vulcan steal enterprise find god seriously do not care of film oh not mention uhuru do belly dance distract male guard
positive;attention give every character complex psychological portrayal detail loyalty treachery love hope be tremendous
positive;attractive set use throughout of film be eye please gem
negative;awful dialogue hopeless operate everyone get shoot top real waste of space time
negative;basic premise be waste since be sideline inexplicable focus documentary crew
positive;bathroom be clean place be well decorate
negative;bathroom location be dirty
negative;battery be completely useless
negative;battery be unreliable well service use antenna
positive;battery be work well replacement original come phone two year ago
negative;battery life be highly unacceptable
negative;battery run quickly
positive;battery work great
negative;beef be like shoe leather
positive;best electronics of available fm transmitter
negative;best example of dumb write be be establish can turn zombie student back human remove necklace contain piece of meteorite
positive;best phone market
positive;best place go tasty bowl of pho
positive;best scene movie be gerardo be try find song keep run head
negative;biggest complaint have be battery drain superfast
positive;block be amaze
positive;bose noise cancel be amaze be important nec commuter
negative;bt headset be disappointment
negative;buffet bellagio be far anticipate
negative;buffet be small food offer be bland
negative;build seem pretty neat bathroom be pretty trippy not eat
negative;bus boy hand be rude
negative;button be bad
negative;cable look thin flimsy be scary
negative;kalahari be joke
negative;call drop phone come screen go black worst of stop ring intermittently
negative;camera phone may be use dustpan indoors rather be use disposable
positive;camera really like movie
negative;case be flimsy piece of plastic have no front side protection whatsoever
positive;case be great work fine 680
negative;cashew cream sauce be bland vegetable be undercooked
negative;cashier have no care ever have say still end be way overprice
positive;cast be always entertain usual
positive;cast be good great
positive;cast of veteran actor be nostalgia trip
negative;cast be also horrible cause see be really really bad actor period
negative;character development also lack depth
positive;character be flesh surprisingly well actor deliver sharply script line right amount of deadpan tongue cheek make dialogue hilarious realistic
positive;character be interest really care
positive;character be interest want find longer movie go think people be surprise do do not make
positive;character be interest
positive;character be funny have peculiarity of not have true lead character
negative;character be stagey storyline be lot like stage farce
negative;charger arrive within promise timeframe do not work
positive;chef be friendly do good job
negative;chipolte ranch dip cause be tasteless seem thin water no heat
positive;chip say be amaze
negative;chip come be drip grease mostly not edible
positive;cinematography be simply stun
negative;cinematography can be call suck
positive;cocktail be handmade delicious
positive;color be even prettier think be graphic be incredibly sharp
negative;commercial be mislead
positive;company ship product promptly work well
negative;concert sequence suck
negative;construction of headset be poor
positive;cutout button be place perfectly
negative;death row scene be entirely unmoving
positive;decor be nice piano music soundtrack be pleasant
positive;delivery be time
positive;design be good
negative;design be odd ear clip be not comfortable
negative;design be ergonomic theory not stand have ear
negative;dessert be bite strange
negative;dialogue be atrocious
negative;dialogue be compose of thing make little sense
negative;dialogue suck
positive;din space be tiny elegantly decorate comfortable
negative;direct cinematography be not quite good
negative;direct be sloppy best
negative;direct seem pretentious
neutre;dad run do player
negative;ear bud play music one ear
negative;earpiece be large heavy keep fall of ear
positive;edit of film be phenomenal opinion
positive;end be perfect shed tear
positive;entire audience applaud conclusion of film
positive;fact be film be wonderful heartwarming tale two people chase dream
negative;fat computer geek be unbelievable bible thumper bad girl be actor
positive;feature look pretty cool
positive;file browser offer option one handsfree be great
negative;film have ultra cheap look
positive;film have great actor master director significant theme least be significant theme undertone of fifty existential world weariness aerial scene ought have thrill sense imagination character one deeply care
positive;film be superb complex
negative;film be way long
positive;film be well pace understate one of best courtroom documentary have see
negative;film lack real scar tension some of medical terminology use throughout be bite iffy say least say insulin dependant diabetic
negative;film look cheap bland
positive;film succeed despite perhaps of obviously meagre budget
positive;film dialogue be natural real life
negative;first thing notice be really bad service
negative;first thing happen be track be
negative;fish be badly make some of underwater shot be repeat thousand time film
negative;flat re-enactments do not hold attention be emotionally adrift stage
neutre;food come fast kind of fast
positive;food be good
neutre;food be ok
negative;food be not good
negative;food be not tasty
negative;food suck expect suck have imagine
negative;food suck
negative;food be barely lukewarm have be sit wait server bring u
positive;food be delicious bartender be attentive personable get great deal
positive;food be excellent service be good
positive;food be fine
neutre;food be fine nothing special
positive;food be great always compliment chef
positive;food be outstanding
positive;food be outstanding price be reasonable
positive;food be quite tasty
positive;food be good enjoy every mouthful enjoyable relax venue couple small family group
positive;food be good
negative;food be not good
positive;food amaze
negative;football scene end be perplex
negative;foreigner be not worth one second of time
positive;free software be easier use
negative;fry rice be dry well
positive;fry be great
negative;game be gimmick
negative;guy say be have better dialogue pot plant have right
positive;handsfree part work fine car try download address book tree reboot overall still rate device high
positive;headset fulfil requirement happy purchase
positive;headset be easy use everyone love
negative;hockey scene be terrible defensemen play like be five year old goalie dive shot be ten foot wide of net etc
positive;host bartender waitress be always friendly ready take order
positive;go charger tip be really great
positive;incredible soundtrack truly capture essence of film
negative;ingredient be sad dress literally have zero taste
positive;inside be really quite nice clean
negative;installation be nightmare
negative;instruction manual be lack
negative;instruction do not explain microphone jack be use
negative;interface be horrific unusable
negative;interface be underwhelming
negative;internet access be fine rare instance work
negative;item receive be counterfeit
positive;cabra ear gel fit ear well
negative;jerky camera movement be also annoy
positive;keyboard be nice compromise full qwerty basic cell phone number keypad
positive;keyboard be really worthwhile usefulness be sturdy enough do not expect problem
negative;kid be annoy
positive;kid be cool
negative;kid play area be nasty
negative;last three time have lunch have be bad
negative;lead man be charisma free
negative;least say act better
negative;light be awful
negative;line cut audio everything be wrong
negative;live music totally blow
positive;look of be sharp screen be nice clear great graphic
positive;loudspeaker option be great bumper light be appeal
negative;majority of logitech earn headset fail
negative;malta setting be dry barren dialogue
negative;management be rude
negative;manager be worst
negative;map database strike nerve
positive;memory be murky can say enjoy every single episode product relate show
negative;menu be always change food quality be go service be extremely slow
positive;menu look amaze
positive;mic be great
negative;mic be joke volume be quite low
negative;annoy thing cover girl be way rita hayworth be put pedestal
positive;movie have edge of seat make somewhat afraid go car end of night
negative;movie have almost no action scene little comedy
positive;movie receive be great quality film be age
positive;movie be fascinate
positive;movie be full of wonderful dance
negative;movie be litter overt racial slur towards black cast member return white be depict moron boob
negative;movie be terribly bore place
negative;movie lack visual interest drama expression of feel celebration of patriotism underline narrative
negative;movie seem little slow first
positive;movie show lot of florida be best make look appeal
negative;movie be bore sometimes find occupy peak paper instead of watch never happen columbo movie
positive;movie be interest begin end
positive;music film be really nice
negative;nano state son be disappoint
negative;navigation be poor
negative;new character be not memorable find forget be
negative;new product activation make even of pain
negative;engage be still lack barbuda
positive;noise shield be incredible
negative;nokia ca 42 usb cable do not work phone
negative;one big drawback of mp player be button phone front cover let pause skip song lock few second
negative;downside be service
positive;good thing be waiter be helpful
positive;good thing be fit comfortably small ear
negative;place good film be garbage
negative;possible way movie be redeem be stok fodder
negative;real effect work be presence of animal integration of scene be some of worst obvious blue green screen work have ever see
negative;reason eat be fill night of binge drink get some carbs stomach
negative;thing be not crazy be guacamole do not like purify
positive;thing really worth watch be scenery house be beautiful
negative;thing disappoint be infra red port ira
negative;thing worse taylor act be stanwyck sing
negative;disappoint thing be be no speakerphone
negative;performance be not improve improvisation actor now have twice much worry not whether be deliver line well whether line be good
positive;performance be real grip crocodile be extremely well do swamp location be fabulous
positive;phone can also take great picture even video clip
negative;phone crash completely now have get replace
positive;phone be sturdy waterproof
positive;phone load super
